Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19013988295
Culture & Recreation,Academy of Sciences,107319.72769230767
Culture & Recreation,Arts Commission,94339.59738764046
Culture & Recreation,Asian Art Museum,71401.52006042295
Culture & Recreation,Fine Arts Museum,44205.439894784955
Culture & Recreation,Law Library,188424.36222222226
Culture & Recreation,Public Library,70446.35214706267
Culture & Recreation,Recreation and Park Commission,38912.859465235
Culture & Recreation,War Memorial,76250.06802153432
General Administration & Finance,Assessor/Recorder,89994.26061397769
General Administration & Finance,Board of Supervisors,78801.34764132553
General Administration & Finance,City Attorney,166082.67756061707
General Administration & Finance,City Planning,89022.87696573483
General Administration & Finance,Civil Service Commission,67966.75655913977
General Administration & Finance,Controller,104515.23494400653
General Administration & Finance,Elections,20493.16661751951
General Administration & Finance,Ethics Commission,98631.38036585363
General Administration & Finance,General Services Agency - City Admin,86123.54760941191
General Administration & Finance,General Services Agency - Technology,110783.68015800424
General Administration & Finance,Health Service System,70016.07113737086
General Administration & Finance,Human Resources,69729.72273740693
General Administration & Finance,Mayor,110765.39133270315
General Administration & Finance,Retirement System,117717.65858902576
General Administration & Finance,Treasurer/Tax Collector,85449.25317039753
General City Responsibilities,General Fund Unallocated,15824.15130434784
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747464
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047611
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.93328358213
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846154
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322582
Human Welfare & Neighborhood Development,Environment,75360.3874518389
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.13027777778
Human Welfare & Neighborhood Development,Human Rights Commission,55672.506682692256
Human Welfare & Neighborhood Development,Human Services,65945.32768862962
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101871
Public Protection,Adult Probation,100179.758766928
Public Protection,Department of Emergency Management,127421.75279331974
Public Protection,District Attorney,141215.37855711405
Public Protection,Fire Department,180788.08697909926
Public Protection,Juvenile Probation,78586.82982313936
Public Protection,Police,141263.70172872016
Public Protection,Public Defender,147552.1857393649
Public Protection,Sheriff,140381.5905418718
Public Protection,Superior Court,99315.4493630434
"Public Works, Transportation & Commerce",Airport Commission,96191.57823387012
"Public Works, Transportation & Commerce",Board of Appeals,51990.6348888889
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6151824818
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204875
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68256691555
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.1118220455
"Public Works, Transportation & Commerce",PUC Clean Power,30940.464999999997
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.81533018869
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.58550627196
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.5897863073
"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692828
"Public Works, Transportation & Commerce",Port,112139.68001718227
