Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Administrative-Labor & Trades,38355.68424242425,179117.52333333332,21.413697291384086
Agriculture & Horticulture,30233.06852173913,104817.10234782605,28.843640822480893
Airport Operation,35227.167363344044,131372.85038585213,26.814647973214523
Appraisal & Taxation,10583.05,39426.81,26.84226798972577
"Budget, Admn & Stats Analysis",27578.388076923075,96484.3796153846,28.583267246842155
"Clerical, Secretarial & Steno",8421.54180473372,29044.789053254466,28.99501796791355
Computer Operatns & Repro Svcs,25343.453380281695,85573.24647887317,29.616094308796193
Construction Inspection,31077.08213333334,120339.16426666662,25.824578658754692
Correction & Detention,34149.70865033215,151403.03794435237,22.555497639937546
Dietary & Food,16154.969940652833,54509.44451038576,29.63701077081203
Energy & Environment,22773.096666666668,83055.26666666666,27.419208414637968
Fire Services,40775.55298219596,202395.53582662164,20.146468555079977
Health & Sanitation Inspection,33592.298,123372.048,27.22845129392681
Hospital Administration,30598.67847826087,105510.81956521739,29.000512558190767
Housekeeping & Laundry,25766.062412790696,85805.63534883712,30.028403505248203
Human Services,30310.919703264077,109590.37964391688,27.658376402883984
Information Systems,26765.487692307688,94853.5073076923,28.217710079484952
Journeyman Trade,36367.526341866236,144223.81171758863,25.21603465388863
"Lab, Pharmacy & Med Techs",32498.56643137256,132921.78011764708,24.44939151628015
Legal & Court,30810.147758620686,116676.15293103454,26.406550940046923
Library,6199.084999999999,17536.765000000003,35.34907949100075
Management,46172.2725,180898.26708333334,25.523888782599606
Med Therapy & Auxiliary,27328.8081300813,95877.07727642276,28.504006282220868
Medical & Dental,33222.22761904762,154797.9514285714,21.46167136738718
Museum & Cultural Affairs,27037.39,83926.07,32.215722718816686
Nursing,26956.808464805825,101482.05772451467,26.56312758062449
Park & Zoo,26814.114285714288,80625.35571428572,33.25766943681613
"Payroll, Billing & Accounting",30903.43369565216,109289.31695652172,28.27671958819762
Personnel,20223.56591836735,69831.59367346938,28.960481716817444
Police Services,33075.70008181631,170772.87561669011,19.36823981113762
Probation & Parole,33453.538823529416,135565.4470588235,24.67703942953363
Professional Engineering,32270.27999999999,123839.61450000003,26.058123751669125
Protection & Apprehension,30621.82122065724,114264.6046680083,26.799043596770705
Pub Relations & Spec Assts,1185.13,5371.93,22.06153095814726
Public Safety Inspection,40678.50157024792,167085.22041322323,24.345960384553916
Public Service Aide,11523.504060606054,32351.529090909095,35.619658125662454
Purchasing & Storekeeping,28865.393352272742,101332.06142045454,28.48594309406408
Recreation,2595.7607692307697,8725.638974358975,29.748661122224185
Revenue,24254.782,77909.18,31.132123326160027
SF Superior Court,13636.096666666666,48377.159999999996,28.187054938046526
Semi-Skilled & General Labor,26685.512806691466,92166.72726765797,28.95352107837686
Skilled Labor,30955.369751243765,118405.33361525692,26.143560265476978
Street Transit,32149.625082411036,108358.84092535876,29.669591154594194
Sub-Professional Engineering,25234.408499999998,94515.9745,26.698564590264052
Supervisory-Labor & Trade,39032.99628919865,166451.4805226483,23.45007456024857
