,Title,Awards,Award_wins,Award_nominated,oscar_nominated,Oscar_Won,Golden_Globe_nominated,Golden_Globe_Won,Primetime_Emmy_nominated,Primetime_Emmys_Won,BAFTA_Film_nominated,BAFTA_Film_won
0,Book of Love: The Definitive Reason Why Men Are Dogs,nan,0,0,0,0,0,0,0,0,0,0
1,Anderssons älskarinna,nan,0,0,0,0,0,0,0,0,0,0
2,Bad Blood,nan,0,0,0,0,0,0,0,0,0,0
3,Who Are You?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
4,Skeletons in the Closet,1 win.,1,0,0,0,0,0,0,0,0,0
5,Cheerleader Ninjas,1 nomination.,0,0,0,0,0,0,0,0,0,0
6,The Girl from Paris,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
7,The Final Curtain,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
8,Crush,nan,0,0,0,0,0,0,0,0,0,0
9,Happy Birthday,nan,0,0,0,0,0,0,0,0,0,0
10,Run Like Hell,nan,0,0,0,0,0,0,0,0,0,0
11,Crazy/Beautiful,5 nominations.,0,5,0,0,0,0,0,0,0,0
12,A Death in the Family,nan,0,0,0,0,0,0,0,0,0,0
13,The Anniversary Party,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
14,Life as We Know It,nan,0,0,0,0,0,0,0,0,0,0
15,The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,0,0,0,0,0,0,0,0,0,0
16,100 Centre Street,nan,0,0,0,0,0,0,0,0,0,0
17,90-60-90,nan,0,0,0,0,0,0,0,0,0,0
18,Like Cat and Mouse,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
19,The Abduction Club,nan,0,0,0,0,0,0,0,0,0,0
20,In Love and War,nan,0,0,0,0,0,0,0,0,0,0
21,The Sign of Four,nan,0,0,0,0,0,0,0,0,0,0
22,Adrian Mole: The Cappuccino Years,nan,0,0,0,0,0,0,0,0,0,0
23,Amores querer con alevosía,nan,0,0,0,0,0,0,0,0,0,0
24,Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,0,0,0,0,1,0,0,0,0,0
25,Romeo,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
26,The Kiss,nan,0,0,0,0,0,0,0,0,0,0
27,Avoir su...,nan,0,0,0,0,0,0,0,0,0,0
28,Academia de baile Gloria,1 nomination.,0,0,0,0,0,0,0,0,0,0
29,Cet amour-là,nan,0,0,0,0,0,0,0,0,0,0
30,The Weakest Link,nan,0,0,0,0,0,0,0,0,0,0
31,Return to Never Land,5 nominations.,0,5,0,0,0,0,0,0,0,0
32,Agnes,nan,0,0,0,0,0,0,0,0,0,0
33,All Souls,nan,0,0,0,0,0,0,0,0,0,0
34,Better Luck Tomorrow,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
35,The Life and Lyrics of Kirsty MacColl,nan,0,0,0,0,0,0,0,0,0,0
36,The Secret Passage: A Journey of Black Women and Depression,nan,0,0,0,0,0,0,0,0,0,0
37,A Grande Família,22 wins & 44 nominations.,0,0,0,0,0,0,0,0,0,0
38,El lado oscuro del corazón 2,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
39,Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
40,25 minuten,nan,0,0,0,0,0,0,0,0,0,0
41,Aftershock,nan,0,0,0,0,0,0,0,0,0,0
42,Doppelganger,nan,0,0,0,0,0,0,0,0,0,0
43,Van Wilder: Party Liaison,2 nominations.,0,2,0,0,0,0,0,0,0,0
44,Abogados,nan,0,0,0,0,0,0,0,0,0,0
45,Passion and Prejudice,nan,0,0,0,0,0,0,0,0,0,0
46,Chains of Love,nan,0,0,0,0,0,0,0,0,0,0
47,Black Box BRD,6 wins & 1 nomination.,6,0,0,0,0,0,0,0,0,0
48,Des parents pas comme les autres,nan,0,0,0,0,0,0,0,0,0,0
49,Die Todesfahrt der Linie 834,nan,0,0,0,0,0,0,0,0,0,0
50,24,Won 2 Golden Globes. Another 68 wins & 201 nominations.,0,0,0,0,0,2,0,0,0,0
51,Alias,Won 1 Golden Globe. Another 31 wins & 143 nominations.,0,0,0,0,0,1,0,0,0,0
52,All-Star Family Fortunes,nan,0,0,0,0,0,0,0,0,0,0
53,According to Jim,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,0,0,0,0,0,4,0,0,0
54,The Education of Max Bickford,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
55,Der kleine Mönch,nan,0,0,0,0,0,0,0,0,0,0
56,A Padroeira,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
57,125 milioni di caz..te,nan,0,0,0,0,0,0,0,0,0,0
58,Aan tafel,nan,0,0,0,0,0,0,0,0,0,0
59,2x enkel,nan,0,0,0,0,0,0,0,0,0,0
60,4 Play: Kiwi Music,nan,0,0,0,0,0,0,0,0,0,0
61,A Private Affair,nan,0,0,0,0,0,0,0,0,0,0
62,Poker,2 wins.,2,0,0,0,0,0,0,0,0,0
63,Sacred Is the Flesh,nan,0,0,0,0,0,0,0,0,0,0
64,2001: A Space Road Odyssey,nan,0,0,0,0,0,0,0,0,0,0
65,Aangespoeld,nan,0,0,0,0,0,0,0,0,0,0
66,Day of Reckoning,nan,0,0,0,0,0,0,0,0,0,0
67,Alien Hunter,nan,0,0,0,0,0,0,0,0,0,0
68,A Question of TV,nan,0,0,0,0,0,0,0,0,0,0
69,No Regrets,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
70,Alexander,nan,0,0,0,0,0,0,0,0,0,0
71,The Virgin Larry,nan,0,0,0,0,0,0,0,0,0,0
72,Swept Away,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
73,Changing Rooms; Changing Places,nan,0,0,0,0,0,0,0,0,0,0
74,All About Us,nan,0,0,0,0,0,0,0,0,0,0
75,The Heat Is On,nan,0,0,0,0,0,0,0,0,0,0
76,McLeod's Daughters,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0
77,Personal Trainer,nan,0,0,0,0,0,0,0,0,0,0
78,Spirit,nan,0,0,0,0,0,0,0,0,0,0
79,The Grim Adventures of Billy & Mandy,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,0
80,Lost,nan,0,0,0,0,0,0,0,0,0,0
81,Absolutt underholdning,nan,0,0,0,0,0,0,0,0,0,0
82,Acampamento Legal,nan,0,0,0,0,0,0,0,0,0,0
83,Alloo Undercover,nan,0,0,0,0,0,0,0,0,0,0
84,The Big Time,1 nomination.,0,0,0,0,0,0,0,0,0,0
85,La decisión de San Mateo,nan,0,0,0,0,0,0,0,0,0,0
86,Atrévete a olvidarme,nan,0,0,0,0,0,0,0,0,0,0
87,Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,0,0,0,0,0,0,0,0,3,0
88,Sins of the Father,6 nominations.,0,6,0,0,0,0,0,0,0,0
89,Armadillo,nan,0,0,0,0,0,0,0,0,0,0
90,Bachelors Walk,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
91,I Spy,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
92,7 Lives Xposed,nan,0,0,0,0,0,0,0,0,0,0
93,Alles komt terug,nan,0,0,0,0,0,0,0,0,0,0
94,The Ring,14 wins & 11 nominations.,0,0,0,0,0,0,0,0,0,0
95,A Dalmatians Point of View,nan,0,0,0,0,0,0,0,0,0,0
96,Jalousie,nan,0,0,0,0,0,0,0,0,0,0
97,2DTV,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
98,'Orrible,nan,0,0,0,0,0,0,0,0,0,0
99,Adventure Divas,nan,0,0,0,0,0,0,0,0,0,0
100,Dr. Terrible's House of Horrible,nan,0,0,0,0,0,0,0,0,0,0
101,Asbestos,nan,0,0,0,0,0,0,0,0,0,0
102,Black and White,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
103,Family Outing,nan,0,0,0,0,0,0,0,0,0,0
104,Reel Life: Lost Boys - The Denver High School Massacre,nan,0,0,0,0,0,0,0,0,0,0
105,1 jaar gratis,nan,0,0,0,0,0,0,0,0,0,0
106,Adamseplene: Full pupp,nan,0,0,0,0,0,0,0,0,0,0
107,Agrippine,nan,0,0,0,0,0,0,0,0,0,0
108,Arsenio Jams,nan,0,0,0,0,0,0,0,0,0,0
109,Back of the Y Masterpiece Television,nan,0,0,0,0,0,0,0,0,0,0
110,Home Truths,nan,0,0,0,0,0,0,0,0,0,0
111,A Passage to Middle-earth: The Making of 'Lord of the Rings',nan,0,0,0,0,0,0,0,0,0,0
112,+ de cinéma,nan,0,0,0,0,0,0,0,0,0,0
113,Agua y aceite,nan,0,0,0,0,0,0,0,0,0,0
114,Alienators: Evolution Continues,nan,0,0,0,0,0,0,0,0,0,0
115,Alma libre,nan,0,0,0,0,0,0,0,0,0,0
116,Ana y los 7,2 nominations.,0,2,0,0,0,0,0,0,0,0
117,Australians at War,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
118,American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,0,0,0,0,1,0,0,0,0,0
119,Dan Dare; Pilot of the Future,nan,0,0,0,0,0,0,0,0,0,0
120,The Game of Their Lives: Pro Football's Wonder Years,nan,0,0,0,0,0,0,0,0,0,0
121,The Ruby Princess Runs Away,2 wins.,2,0,0,0,0,0,0,0,0,0
122,Adam Sandler Goes to Hell,nan,0,0,0,0,0,0,0,0,0,0
123,La peur du loup,nan,0,0,0,0,0,0,0,0,0,0
124,Rocky Legends,nan,0,0,0,0,0,0,0,0,0,0
125,101,nan,0,0,0,0,0,0,0,0,0,0
126,All About Me,nan,0,0,0,0,0,0,0,0,0,0
127,Anatomy of a Scene,nan,0,0,0,0,0,0,0,0,0,0
128,A Cook's Tour,nan,0,0,0,0,0,0,0,0,0,0
129,Shock Video 2002: America Undercover,nan,0,0,0,0,0,0,0,0,0,0
130,The Model Solution,nan,0,0,0,0,0,0,0,0,0,0
