Pokemon No.,Type 1,Name,Total_values,appear_rate
149,Dragon,Dragonite,3649.8,0.008
143,Normal,Snorlax,3347.0,0.024333333333333332
131,Water,Lapras,3176.4,0.006666666666666667
59,Fire,Arcanine,3128.2,0.010666666666666666
103,Grass,Exeggutor,3105.6,0.009666666666666667
89,Poison,Muk,2763.4,0.0016666666666666668
68,Fighting,Machamp,2735.2,
36,Fairy,Clefable,2543.6,0.021333333333333333
76,Rock,Golem,2429.4,0.006666666666666667
112,Ground,Rhydon,2401.4,0.014333333333333333
97,Psychic,Hypno,2315.8,0.106
135,Electric,Jolteon,2247.0,0.0033333333333333335
127,Bug,Pinsir,2229.0,0.468
94,Ghost,Gengar,2178.6,0.004
124,Ice,Jynx,1820.0,0.25166666666666665
