Pokemon No.,Name,Type 1,appear_rate,l_evening,l_morn,l_night,population_density
1,Bulbasaur,Grass,0.456,0.2531847133757962,0.2914012738853503,0.4554140127388535,1851.392773111843
2,Ivysaur,Grass,0.03333333333333333,0.27906976744186046,0.3023255813953488,0.4186046511627907,1867.937863760001
3,Venusaur,Grass,0.004,0.2,0.2,0.6,379.29570549999994
4,Charmander,Fire,0.24600000000000002,0.29878048780487804,0.3780487804878049,0.3231707317073171,1852.447108605692
5,Charmeleon,Fire,0.007666666666666667,0.1,0.3,0.6,1047.189039130435
6,Charizard,Fire,0.0026666666666666666,0.5,0.5,0.0,1052.0119775
7,Squirtle,Water,0.4966666666666667,0.2833562585969739,0.32324621733149933,0.39339752407152684,1602.416811284566
8,Wartortle,Water,0.033,0.38636363636363635,0.25,0.36363636363636365,1819.7322676262622
9,Blastoise,Water,0.006,0.25,0.25,0.5,2080.024711777778
10,Caterpie,Bug,3.284666666666667,0.27132839890923255,0.31417997662641217,0.4144916244643553,1225.1161324835641
11,Metapod,Bug,0.19866666666666666,0.2715654952076677,0.3354632587859425,0.3929712460063898,1204.9077033540282
12,Butterfree,Bug,0.03166666666666666,0.3409090909090909,0.3181818181818182,0.3409090909090909,1516.0322183263156
13,Weedle,Bug,9.122333333333334,0.29665432606609077,0.31399972576443164,0.3893459481694776,1045.2528675310284
14,Kakuna,Bug,0.6023333333333334,0.2644281217208814,0.34312696747114374,0.39244491080797483,1043.9397493774156
15,Beedrill,Bug,0.06633333333333334,0.29464285714285715,0.36607142857142855,0.3392857142857143,976.6434828743718
16,Pidgey,Normal,17.371333333333332,0.2823533868767995,0.31504773450522805,0.40259887861797244,1141.224055524686
17,Pidgeotto,Normal,1.096666666666667,0.28758949880668255,0.3168257756563246,0.39558472553699287,1161.041894768999
18,Pidgeot,Normal,0.14866666666666667,0.2895927601809955,0.3076923076923077,0.40271493212669685,1163.7480419641242
19,Rattata,Normal,13.212333333333332,0.3034368871916606,0.3139642894003509,0.38259882340798845,1136.841262674919
