,pokemonId,latitude,longitude,appearedLocalTime,appearedTimeOfDay,city,continent,weather,population_density,urban,suburban,midurban,neigbour
1254,79,39.415559,-77.422549,2016-09-08T02:14:26,night,New_York,America,Clear,849.4422599999999,True,True,True,"2, Frederick，Frederick County"
1255,118,33.246532,-97.141533,2016-09-08T02:14:24,night,Chicago,America,Clear,1055.8982,True,True,True,Denton County，Texas
1256,69,19.25082,-99.60599599999999,2016-09-08T02:14:24,night,Mexico_City,America,MostlyCloudy,2102.9775,True,True,True,Metepec，Metepec
1257,19,53.62754399999999,-113.47426000000002,2016-09-08T02:14:21,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
1258,129,53.627472,-113.478926,2016-09-08T02:14:20,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
1259,19,53.630289000000005,-113.475278,2016-09-08T02:14:16,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
1260,19,38.976611,-77.507612,2016-09-08T02:14:15,night,New_York,America,PartlyCloudy,55.97982,False,False,False,Dulles，Loudoun County
1261,19,33.555046000000004,-84.351946,2016-09-08T02:14:12,night,New_York,America,Clear,1018.2959599999999,True,True,True,Clayton County，Georgia
1262,19,48.608017,-93.38525200000001,2016-09-08T02:14:10,night,Winnipeg,America,Rain,67.10759,False,False,False,Rainy River District，Ontario
1264,16,53.609041000000005,-113.448575,2016-09-08T02:14:09,night,Edmonton,America,Clear,761.8856,False,True,True,Edmonton，Division No. 11
1266,10,20.527788,-97.46066,2016-09-08T02:14:05,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
1267,43,28.382306,-81.504305,2016-09-08T02:14:04,night,New_York,America,Clear,38.953922,False,False,False,Orange County，Florida
1268,19,20.5265,-97.460491,2016-09-08T02:14:04,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
1269,79,33.705657,-78.86299100000001,2016-09-08T02:14:03,night,New_York,America,Clear,511.28308,False,True,True,Horry County，South Carolina
1270,133,38.973232,-77.509762,2016-09-08T02:14:03,night,New_York,America,PartlyCloudy,55.97982,False,False,False,Dulles，Loudoun County
1271,27,26.236454,-98.203912,2016-09-08T02:14:02,night,Chicago,America,Clear,1517.408,True,True,True,Hidalgo County，Texas
1272,48,48.608684000000004,-93.383907,2016-09-08T02:14:02,night,Winnipeg,America,Rain,67.10759,False,False,False,Rainy River District，Ontario
1273,29,44.477971999999994,-73.215816,2016-09-08T02:14:02,night,New_York,America,Clear,591.0899,False,True,True,Burlington，Chittenden County
1274,54,33.703388000000004,-78.86555600000001,2016-09-08T02:14:00,night,New_York,America,Clear,511.28308,False,True,True,Horry County，South Carolina
1275,21,33.557171000000004,-84.354575,2016-09-08T02:13:59,night,New_York,America,Clear,1018.2959599999999,True,True,True,Clayton County，Georgia
1276,16,53.630155,-113.482403,2016-09-08T02:13:59,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
1277,19,33.704923,-78.864406,2016-09-08T02:13:57,night,New_York,America,Clear,511.28308,False,True,True,Horry County，South Carolina
1278,74,30.039267,-90.239528,2016-09-08T02:13:53,night,Chicago,America,Clear,0.0,False,False,False,4，Jefferson Parish
1279,16,20.526579,-97.46294300000001,2016-09-08T02:13:52,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
1280,16,33.24707,-97.138251,2016-09-08T02:13:49,night,Chicago,America,Clear,1055.8982,True,True,True,Denton County，Texas
1281,16,41.725658,-88.256727,2016-09-08T02:13:48,night,Chicago,America,Clear,913.3346,True,True,True,Naperville Township，DuPage County
1282,13,48.609407,-93.393966,2016-09-08T02:13:48,night,Winnipeg,America,Rain,67.10759,False,False,False,Rainy River District，Ontario
1283,19,33.554662,-84.34734499999999,2016-09-08T02:13:44,night,New_York,America,Clear,1018.2959599999999,True,True,True,Georgia，United States
1285,129,28.38125,-81.503362,2016-09-08T02:13:43,night,New_York,America,Clear,38.953922,False,False,False,Orange County，Florida
1286,21,29.943675,-90.134033,2016-09-08T02:13:42,night,Chicago,America,Clear,982.0328,True,True,True,New Orleans，Orleans Parish
1287,21,53.633337,-113.497725,2016-09-08T02:13:42,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
1288,46,41.730058,-88.259692,2016-09-08T02:13:36,night,Chicago,America,Clear,913.3346,True,True,True,Naperville Township，DuPage County
